snapped_at time utf	price	market_cap total_volume
2014-03-20 00:00:00 UTC	7.774866216	31807330.22	24102.12112
2014-03-21 00:00:00 UTC	12.25483456	50771189.43	46135.65895
2014-03-22 00:00:00 UTC	8.37698808	35100425.28	133472.8175
2014-03-23 00:00:00 UTC	8.609706206	36477199.21	112293.1437
2014-03-24 00:00:00 UTC	7.762261689	33261696.01	99021.59076
2014-03-25 00:00:00 UTC	7.749108719	33580326.09	39452.33789
2014-03-26 00:00:00 UTC	8.690683439	38149953.16	93245.9056
2014-03-27 00:00:00 UTC	7.199002289	32016870.94	70574.79291
2014-03-28 00:00:00 UTC	7.967894702	35838828.47	158061.3677
2014-03-29 00:00:00 UTC	8.371068758	38146104.59	17382.29385
2014-03-30 00:00:00 UTC	7.120131839	32802497.49	50097.97981
2014-03-31 00:00:00 UTC	7.116215559	33148058.2	100088.298
2014-04-01 00:00:00 UTC	7.368689496	34662684.28	103019.2597
2014-04-02 00:00:00 UTC	6.522310062	31020769.64	85470.43165
2014-04-03 00:00:00 UTC	6.837993039	32848400.38	127768.0779
2014-04-04 00:00:00 UTC	6.796384822	32971663.61	171720.3766
2014-04-05 00:00:00 UTC	5.274990835	25835582.02	179338.3727
2014-04-06 00:00:00 UTC	5.989193202	29600070.13	133821.6749
2014-04-08 00:00:00 UTC	5.789446269	28953003.23	154322.0468
2014-04-09 00:00:00 UTC	5.058074823	25539525.47	181399.2354
2014-04-10 00:00:00 UTC	4.328000431	22084298.28	109630.3582
2014-04-11 00:00:00 UTC	5.321224542	27413134.48	178139.5866
2014-04-12 00:00:00 UTC	5.815290079	30249707.53	211136.464
2014-04-13 00:00:00 UTC	5.219919767	27388677.66	177968.9087
2014-04-14 00:00:00 UTC	5.396609763	28567003.48	191010.4179
2014-04-15 00:00:00 UTC	6.557413227	35041208.12	230514.5686
2014-04-16 00:00:00 UTC	3.266236056	17615999.4	171951.3865
2014-04-17 00:00:00 UTC	6.118492293	33285528.93	146509.0389
2014-04-18 00:00:00 UTC	5.972894214	32778335.86	146626.9489
2014-04-19 00:00:00 UTC	6.211917344	34368686.4	138585.105
2014-04-20 00:00:00 UTC	6.187742851	34536508.05	157745.9401
2014-04-21 00:00:00 UTC	6.619686549	37256899.46	234662.6892
2014-04-22 00:00:00 UTC	5.965494317	33597346.86	214062.3187
2014-04-23 00:00:00 UTC	5.594895375	31510162.66	91503.25528
2014-04-24 00:00:00 UTC	5.123093761	28852998.57	51584.43339
2014-04-25 00:00:00 UTC	4.922162523	27721292.9	33409.33384
2014-04-26 00:00:00 UTC	4.893464761	27559688.2	17648.53774
2014-04-27 00:00:00 UTC	3.989597756	22469203.17	45455.10836
2014-04-28 00:00:00 UTC	4.388028154	26197603.26	48224.92774
2014-04-29 00:00:00 UTC	4.678356621	28210465.13	68679.38829
2014-04-30 00:00:00 UTC	4.41977356	26883525.37	82738.29146
2014-05-01 00:00:00 UTC	4.389539514	26908282.73	58499.15204
2014-05-02 00:00:00 UTC	4.565115901	28174067.83	75521.33142
2014-05-03 00:00:00 UTC	4.030657606	24875619.24	85156.62353
2014-05-04 00:00:00 UTC	3.813838828	23537475.97	67722.13306
2014-05-05 00:00:00 UTC	3.718587795	22949618.73	56821.83818
2014-05-06 00:00:00 UTC	3.593343979	22176676.01	46177.19984
2014-05-07 00:00:00 UTC	3.642917664	22482576.98	71021.64895
2014-05-08 00:00:00 UTC	3.634330579	22429673.73	76145.65627
2014-05-09 00:00:00 UTC	3.653802358	22549844.09	63235.39568
2014-05-10 00:00:00 UTC	3.641623926	22474688.17	89432.39742
2014-05-11 00:00:00 UTC	3.197588437	19734227.9	65999.06166
2014-05-12 00:00:00 UTC	3.049187814	18818356.87	79363.38181
2014-05-13 00:00:00 UTC	3.124194594	19281268.23	102756.1856
2014-05-14 00:00:00 UTC	3.099290595	19127606.96	80269.42583
2014-05-15 00:00:00 UTC	3.075684289	18981887.91	93171.31948
2014-05-16 00:00:00 UTC	3.096580029	19110890.49	122267.4796
2014-05-17 00:00:00 UTC	3.396575801	20962256.5	168774.3292
2014-05-18 00:00:00 UTC	3.637643688	25285607.03	130446.9369
2014-05-19 00:00:00 UTC	3.62953474	25398548.28	76391.47376
2014-05-20 00:00:00 UTC	3.573306727	25168554.22	95344.28819
2014-05-21 00:00:00 UTC	3.319208667	23531327.94	75132.08229
2014-05-22 00:00:00 UTC	3.982027335	28410975.59	68342.02082
2014-05-23 00:00:00 UTC	3.781986136	27156158.59	66079.48713
2014-05-25 00:00:00 UTC	3.476559722	25206968.84	61534.92034
2014-05-26 00:00:00 UTC	3.260942651	23793788.61	61197.85935
2014-05-27 00:00:00 UTC	2.977434828	21865971.47	77790.38584
2014-05-28 00:00:00 UTC	3.565664611	26376801.89	81033.13395
2014-05-29 00:00:00 UTC	3.510167866	26126007.66	56557.02695
2014-05-30 00:00:00 UTC	3.194274902	23923205.55	58745.94896
2014-05-31 00:00:00 UTC	3.166369833	23860511.26	73331.87132
2014-06-01 00:00:00 UTC	3.262710785	24738075.3	100265.5132
2014-06-02 00:00:00 UTC	3.043307051	23213421.51	98666.21779
2014-06-03 00:00:00 UTC	3.23498179	24822326.16	55944.56923
2014-06-04 00:00:00 UTC	2.942342306	22709700.89	67566.5508
2014-06-05 00:00:00 UTC	2.990616963	23224353.25	47741.07469
2014-06-06 00:00:00 UTC	2.846270619	22234210.34	46972.97548
2014-06-07 00:00:00 UTC	2.979126213	23407464.11	92634.52155
2014-07-08 00:00:00 UTC	4.971408735	45994753.48	123876.9188
2014-07-09 00:00:00 UTC	5.89730244	54899136.14	187305.2077
2014-07-10 00:00:00 UTC	5.23785732	49001466.13	210535.9967
2014-07-11 00:00:00 UTC	6.39505132	60124678.63	225721.9928
2014-07-12 00:00:00 UTC	5.658187641	53452353.93	198175.5656
2014-07-13 00:00:00 UTC	6.078718165	57706462.13	224886.9759
2014-07-14 00:00:00 UTC	6.831364038	65162623.94	281019.6745
2014-07-15 00:00:00 UTC	7.345561798	70402117.07	293126.3977
2014-07-16 00:00:00 UTC	11.2540048	108373853.3	540672.1074
2014-07-17 00:00:00 UTC	12.6252866	122161039	1022727.568
2014-07-18 00:00:00 UTC	14.02722355	136364224.8	851993.1078
2014-07-19 00:00:00 UTC	11.78216218	115089374.8	391900.3051
2014-07-20 00:00:00 UTC	11.87305282	116518007.8	376530.2934
2014-07-21 00:00:00 UTC	11.31305677	111533768.8	431723.3573
2014-07-22 00:00:00 UTC	13.16533976	130265126.7	555187.3963
2014-07-23 00:00:00 UTC	14.22794119	140779121.4	725326.6742
2014-07-24 00:00:00 UTC	15.27956746	151184452.4	817811.1693
2014-07-29 00:00:00 UTC	24.89339715	254864793.1	1083654.029
2014-07-30 00:00:00 UTC	32.74209118	336703291.4	1218286.083
2014-07-31 00:00:00 UTC	50.75478775	524236047.6	1847563.907
2014-08-01 00:00:00 UTC	75.88838387	787273719.9	8635437.17
2014-08-02 00:00:00 UTC	37.35889679	389266661.4	8023453.775
2014-08-03 00:00:00 UTC	44.25889286	463071975.3	4318580.168
2014-08-04 00:00:00 UTC	45.54283991	478420701.9	2275932.297
2014-08-05 00:00:00 UTC	38.69255145	408026497.5	1992978.084
2014-08-06 00:00:00 UTC	33.45822684	354238976.7	1817403.94
2014-08-07 00:00:00 UTC	34.30157035	364529648.4	1969034.978
2014-08-08 00:00:00 UTC	24.78283517	264409307.5	2096942.313
2014-08-09 00:00:00 UTC	27.14024633	290617757.7	2247063.001
2014-08-10 00:00:00 UTC	26.5497627	285237375.5	1470510.405
2014-08-11 00:00:00 UTC	24.89597378	268469467.7	1493679.114
2014-08-12 00:00:00 UTC	22.00516389	238096973.6	1680433.971
2014-08-13 00:00:00 UTC	11.9259408	129519294.9	903397.5761
2014-08-14 00:00:00 UTC	13.36152607	145625268.4	955091.5428
2014-08-15 00:00:00 UTC	16.80978356	183877179.4	1078302.251
2014-08-16 00:00:00 UTC	21.75975057	238551057.5	1303785.318
2014-08-17 00:00:00 UTC	24.71431277	272291176.7	1350275.381
2014-08-18 00:00:00 UTC	20.26583017	224010380.4	1025095.223
2014-08-19 00:00:00 UTC	18.41896074	204287456.4	1156136.277
2014-08-20 00:00:00 UTC	18.64755366	207527692.3	1162888.344
2014-08-21 00:00:00 UTC	19.260687	215070609.2	1004779.413
2014-08-22 00:00:00 UTC	18.70003793	209478759.9	1028068.128
2014-08-23 00:00:00 UTC	18.63081523	209400116.3	885493.5226
2014-08-24 00:00:00 UTC	18.92259723	213405267.1	820104.1911
2014-08-25 00:00:00 UTC	19.21429305	217462565.2	1097066.215
2014-08-26 00:00:00 UTC	23.37557418	265458864.2	1321292.339
2014-08-27 00:00:00 UTC	21.33316141	243166040.4	1201590.437
2014-08-28 00:00:00 UTC	20.99456155	240151540.9	1264894.294
2014-08-29 00:00:00 UTC	22.10201115	253664782	1239992.089
2014-08-30 00:00:00 UTC	22.63549129	260586566.4	1335595.974
2014-08-31 00:00:00 UTC	23.22033879	268103192.7	1319078.114
2014-09-01 00:00:00 UTC	18.86692684	218525236.8	1071798.741
2014-09-02 00:00:00 UTC	19.65931451	228459911	1525527.817
2014-09-03 00:00:00 UTC	20.12330142	234617571.3	1547713.441
2014-09-04 00:00:00 UTC	22.05556179	257982803.5	1182880.327
2014-09-05 00:00:00 UTC	20.80613194	244089217.5	1036494.989
2014-09-06 00:00:00 UTC	20.27573899	238576510.4	971241.464
2014-09-07 00:00:00 UTC	17.91770852	211503319	921397.5547
2014-09-08 00:00:00 UTC	17.67097633	209199620.4	929497.4492
2014-09-09 00:00:00 UTC	16.49447738	195819961.3	910734.4653
2014-09-10 00:00:00 UTC	13.79685244	164278432.1	759500.7515
2014-09-11 00:00:00 UTC	15.11844858	180512008.2	745587.6964
2014-09-12 00:00:00 UTC	14.37463609	172160704.1	696352.0466
2014-09-13 00:00:00 UTC	13.27958373	159505728	625627.646
2014-09-14 00:00:00 UTC	12.22559802	147131404.5	550068.9504
2014-09-15 00:00:00 UTC	10.7089856	129301898.5	458620.1606
2014-09-16 00:00:00 UTC	11.31502774	136944083.5	489337.9283
2014-09-17 00:00:00 UTC	11.80975168	143258192.8	493043.1269
2014-09-18 00:00:00 UTC	13.3156989	161854983.2	555777.1749
2014-09-19 00:00:00 UTC	12.19569031	148606925.6	589756.6165
2014-09-20 00:00:00 UTC	11.35264265	138706587.9	536034.9497
2014-09-21 00:00:00 UTC	11.02319076	134996056.8	460049.9778
2014-09-22 00:00:00 UTC	10.91471523	134002687.6	465366.3378
2014-09-23 00:00:00 UTC	10.24436832	126068733.2	734723.5926
2014-09-24 00:00:00 UTC	9.824216441	121218550.6	690333.2499
2014-09-25 00:00:00 UTC	9.666267232	119586225.1	431223.3938
2014-09-26 00:00:00 UTC	9.596481429	119030437.2	375841.2211
2014-09-27 00:00:00 UTC	9.958737966	123807030.4	201184.3363
2014-09-28 00:00:00 UTC	9.869950909	123000315.2	170615.3476
2014-09-29 00:00:00 UTC	9.34942839	116785112.4	746060.3745
2014-09-30 00:00:00 UTC	3.291681221	41221394.76	336142.0509
2014-10-01 00:00:00 UTC	5.978710393	75076460.02	323543.679
2014-10-02 00:00:00 UTC	6.040717629	76083744.64	376694.972
2014-10-03 00:00:00 UTC	5.452732665	68873193.65	415717.4366
2014-10-04 00:00:00 UTC	5.087208776	64450865.42	378331.8095
2014-10-05 00:00:00 UTC	7.45365921	94685696.36	566490.9707
2014-10-06 00:00:00 UTC	6.447265708	82106251.15	512850.2031
2014-10-07 00:00:00 UTC	6.4142365	81908196.54	514440.6053
2014-10-08 00:00:00 UTC	6.595217712	84441540.21	494068.3765
2014-10-09 00:00:00 UTC	6.860538606	88053983.93	497045.6738
2014-10-10 00:00:00 UTC	7.283209246	93714874.17	484080.7085
2014-10-11 00:00:00 UTC	6.786235785	87539048.51	418145.5301
2014-10-12 00:00:00 UTC	7.148769361	92434302.72	382353.3307
2014-10-13 00:00:00 UTC	6.777343675	87845556.65	518754.5988
2014-10-14 00:00:00 UTC	6.791049089	88247645.6	539208.1718
2014-10-15 00:00:00 UTC	6.263873222	81601355.62	288085.6012
2014-10-16 00:00:00 UTC	5.47294143	71478530.6	330643.3056
2014-10-17 00:00:00 UTC	5.349972287	70053874.62	356836.4255
2014-10-18 00:00:00 UTC	5.274096847	69256539.05	274318.3707
2014-10-19 00:00:00 UTC	4.870748849	64122921.52	246892.1613
2014-10-20 00:00:00 UTC	4.859719789	64146600.31	255581.8176
2014-10-21 00:00:00 UTC	4.834284517	63987798.44	255429.5235
2014-10-22 00:00:00 UTC	5.012577271	66515897.87	279648.4737
2014-10-23 00:00:00 UTC	4.989283802	66382171.52	288997.8691
2014-10-24 00:00:00 UTC	5.021648581	66993813.72	265694.6088
2014-10-25 00:00:00 UTC	4.901106838	65558920.45	244491.1787
2014-10-26 00:00:00 UTC	5.056043296	67811905.49	233376.9725
2014-10-27 00:00:00 UTC	4.453836371	59883834.23	237472.5411
2014-10-28 00:00:00 UTC	4.24833312	57273690.54	215398.2112
2014-10-29 00:00:00 UTC	3.802213098	51403449.64	164853.3763
2014-10-30 00:00:00 UTC	4.137350344	56089231.14	193605.9642
2014-10-31 00:00:00 UTC	4.286046062	58266867.49	204976.5993
2014-11-01 00:00:00 UTC	4.551231963	62030560.92	213997.3573
2014-11-02 00:00:00 UTC	5.114878327	69885094.07	255499.9309
2014-11-03 00:00:00 UTC	4.602683163	63050315.57	237943.9219
2014-11-04 00:00:00 UTC	5.0721575	69659743.06	269003.0904
2014-11-05 00:00:00 UTC	5.414934531	74555255.34	302761.0705
2014-11-06 00:00:00 UTC	5.751728872	79379610.16	304527.0892
2014-11-07 00:00:00 UTC	5.610616973	77627374.32	284796.9015
2014-11-08 00:00:00 UTC	5.957863253	82630797.03	307318.6435
2014-11-09 00:00:00 UTC	6.100577398	84806871.67	279339.2902
2014-11-10 00:00:00 UTC	5.861741541	81671058.72	335334.796
2014-11-11 00:00:00 UTC	5.78502281	80793917.82	333850.0896
2014-11-12 00:00:00 UTC	5.347004524	74851646.93	268650.274
2014-11-13 00:00:00 UTC	5.754466309	80563103.77	284306.4285
2014-11-14 00:00:00 UTC	5.661596085	79626668.9	258476.5548
2014-11-15 00:00:00 UTC	5.214390939	73526301.59	235000.9801
2014-11-16 00:00:00 UTC	5.293181493	74815415.18	280068.5629
2014-11-17 00:00:00 UTC	5.106633281	72349758.99	265369.2793
2014-11-18 00:00:00 UTC	5.15557642	73214082.96	222930.3699
2014-11-19 00:00:00 UTC	5.661756789	80582368.94	244437.3732
2014-11-20 00:00:00 UTC	5.566061831	79391522.92	243556.3828
2014-11-21 00:00:00 UTC	5.17184693	73929741.71	228669.1491
2014-11-22 00:00:00 UTC	5.357439315	76754157.96	214953.646
2014-11-23 00:00:00 UTC	5.35835714	76940114.34	223122.7708
2014-11-24 00:00:00 UTC	5.44200171	78304962.6	225842.086
2014-11-25 00:00:00 UTC	5.181275246	74713470.92	232618.3285
2014-11-26 00:00:00 UTC	5.251409088	75890475.87	254321.4428
2014-11-27 00:00:00 UTC	5.217085637	75546008.56	221668.9863
2014-11-28 00:00:00 UTC	5.476703625	79462314.4	235393.8722
2014-11-29 00:00:00 UTC	5.473476314	79579145.81	243942.0034
2014-11-30 00:00:00 UTC	5.353813502	78007739.64	224967.1787
2014-12-01 00:00:00 UTC	5.26801621	76908032.04	208252.8891
2014-12-02 00:00:00 UTC	5.317928465	77801559.34	206454.2259
2014-12-03 00:00:00 UTC	4.491666638	65865125.83	329707.9236
2014-12-04 00:00:00 UTC	4.757083575	69911289.48	354392.4957
2014-12-05 00:00:00 UTC	4.535634249	66803089.04	234519.5676
2014-12-06 00:00:00 UTC	4.350440437	64215111.11	239209.8954
2014-12-07 00:00:00 UTC	4.000349	59187763.69	189716.3008
2014-12-08 00:00:00 UTC	4.143511888	61463819.46	192149.3321
2014-12-09 00:00:00 UTC	4.74375863	70528305.81	222348.3303
2014-12-10 00:00:00 UTC	4.406298335	65654285.83	197393.2967
2014-12-11 00:00:00 UTC	4.215483138	62938006.34	182210.1728
2014-12-12 00:00:00 UTC	4.313179818	64527757.98	185404.1426
2014-12-13 00:00:00 UTC	3.860695521	57897306.46	172268.4084
2014-12-14 00:00:00 UTC	3.87570652	58232296.68	170366.1774
2014-12-15 00:00:00 UTC	3.817732859	57491811.79	154553.7661
2014-12-16 00:00:00 UTC	3.79444717	57248531.96	170836.6347
2014-12-17 00:00:00 UTC	3.483143907	52641798.81	155259.5006
2014-12-18 00:00:00 UTC	2.934926455	44438895.43	131210.9877
2014-12-19 00:00:00 UTC	3.750951665	56897060.52	188094.2255
2014-12-20 00:00:00 UTC	3.358417035	50990677.92	145958.4188
2014-12-21 00:00:00 UTC	3.396349878	51566610.38	140451.4363
2014-12-22 00:00:00 UTC	3.325610016	50716550.43	149685.6678
2014-12-23 00:00:00 UTC	3.474621288	53082136.88	156550.2146
2014-12-24 00:00:00 UTC	3.244159515	49658025.27	138040.8345
2014-12-25 00:00:00 UTC	3.300904375	50595602.08	134941.5739
2014-12-26 00:00:00 UTC	3.305743316	50759853.91	117879.7294
2014-12-27 00:00:00 UTC	3.201298521	49234690.74	119447.2525
2014-12-28 00:00:00 UTC	3.183521221	49020178.12	117968.7864
2014-12-29 00:00:00 UTC	3.090453435	47685078.41	119834.6816
2014-12-30 00:00:00 UTC	3.224362138	49840255.32	139331.8116
2014-12-31 00:00:00 UTC	3.04093708	47089062.73	138240.2767
2015-01-01 00:00:00 UTC	3.099258109	48070423.04	147127.4734
2015-01-02 00:00:00 UTC	3.102735099	48203782.22	141548.1791
2015-01-03 00:00:00 UTC	2.82925419	44019658.63	100593.901
2015-01-04 00:00:00 UTC	2.530430883	39405134.92	95480.49279
2015-01-05 00:00:00 UTC	2.641802884	41223352.65	96929.57058
2015-01-06 00:00:00 UTC	2.848777211	44499324.42	63943.33785
2015-01-07 00:00:00 UTC	2.987120066	46719155.26	25996.14741
2015-01-08 00:00:00 UTC	2.505225481	39238344.62	132397.2843
2015-01-09 00:00:00 UTC	2.736583601	42914693.54	188097.117
2015-01-10 00:00:00 UTC	2.793880789	43899690.07	106434.7255
2015-01-11 00:00:00 UTC	2.74529396	43206671.73	114526.4915
2015-01-12 00:00:00 UTC	2.715507938	42801836.12	122116.1323
2015-01-13 00:00:00 UTC	2.682003608	42337036.15	129134.5766
2015-01-14 00:00:00 UTC	2.512195493	39714670.5	144086.4467
2015-01-15 00:00:00 UTC	3.250461128	51440660.14	188614.5069
2015-01-16 00:00:00 UTC	3.932701644	62302056.08	208243.999
2015-01-17 00:00:00 UTC	3.445217725	54650627.46	202041.1138
2015-01-18 00:00:00 UTC	2.960572439	47032541.94	169816.4713
2015-01-19 00:00:00 UTC	3.482649584	55411566.87	168646.1535
2015-01-20 00:00:00 UTC	3.639968836	57992893.49	145172.8031
2015-01-21 00:00:00 UTC	3.798459037	60586561.17	132963.5056
2015-01-22 00:00:00 UTC	3.961966718	63266071.24	140261.51
2015-01-23 00:00:00 UTC	3.677749303	58782938.21	113429.7566
2015-01-24 00:00:00 UTC	4.211925148	67386801.04	105126.8339
2015-01-25 00:00:00 UTC	4.216090988	67549577.39	123286.8024
2015-01-26 00:00:00 UTC	6.892725597	110563454.2	302025.4469
2015-01-27 00:00:00 UTC	8.565475098	137450178.9	602336.0249
2015-01-29 00:00:00 UTC	7.138522432	115031935.1	395769.2335
2015-01-30 00:00:00 UTC	5.695456903	91922965.78	292323.3024
2015-01-31 00:00:00 UTC	5.307607411	85797473.8	225478.3135
2015-02-01 00:00:00 UTC	4.569723411	74038887.19	199929.6319
2015-02-02 00:00:00 UTC	5.118043121	83055091.96	246471.4565
2015-02-03 00:00:00 UTC	5.385807988	87568929.23	277083.8671
2015-02-04 00:00:00 UTC	5.926782013	96532758.38	285278.6521
2015-02-05 00:00:00 UTC	5.730334529	93463475.26	226696.5275
2015-02-06 00:00:00 UTC	6.348404273	103700866.4	291509.6391
2015-02-07 00:00:00 UTC	7.570592753	123837863.6	385027.0049
2015-02-08 00:00:00 UTC	7.61681993	124754751.1	355651.4772
2015-02-09 00:00:00 UTC	8.347947847	136941406.1	423684.3409
2015-02-10 00:00:00 UTC	8.507492473	139775549.1	436545.4559
2015-02-11 00:00:00 UTC	6.554789412	107864959.1	339793.5946
2015-02-12 00:00:00 UTC	8.791275057	144902630.7	538790.3058
2015-02-13 00:00:00 UTC	8.006919611	132173424.8	389871.5831
2015-02-14 00:00:00 UTC	7.999006862	132263578.5	378162.682
2015-02-15 00:00:00 UTC	7.601401435	125891370	307366.6248
2015-02-16 00:00:00 UTC	7.704114229	127829744.9	337634.5546
2015-02-17 00:00:00 UTC	7.279947534	121000736	367150.9182
2015-02-18 00:00:00 UTC	7.553958942	125768128.6	335254.0074
2015-02-19 00:00:00 UTC	7.943223502	132489790.7	411908.1332
2015-02-20 00:00:00 UTC	8.233206049	137565758.3	490307.9453
2015-02-21 00:00:00 UTC	7.024041885	117580002.7	323220.4746
2015-02-22 00:00:00 UTC	6.714326481	112662369.7	261936.8938
2015-02-23 00:00:00 UTC	7.824990914	131567049.7	231820.3269
2015-02-24 00:00:00 UTC	8.348154575	140631342.3	399156.5081
2015-02-25 00:00:00 UTC	9.183695837	155013898	588937.1507
2015-02-26 00:00:00 UTC	10.0241678	169516195.6	648824.7195
2015-02-27 00:00:00 UTC	11.66701065	197653160.9	840428.828
2015-02-28 00:00:00 UTC	10.71536095	181877179	801263.5091
2015-03-01 00:00:00 UTC	12.16886467	206915724.2	812415.0738
2015-03-02 00:00:00 UTC	16.64460916	283645778.1	1151886.361
2015-03-03 00:00:00 UTC	19.81119725	338369305.7	1940602.048
2015-03-04 00:00:00 UTC	25.24122278	431930328.3	4098665.774
2015-03-05 00:00:00 UTC	24.25028287	415738361.9	4015356.499
2015-03-06 00:00:00 UTC	18.38567989	315768536.3	1696399.01
2015-03-07 00:00:00 UTC	16.59996745	285676309.8	28301.32473
2015-03-08 00:00:00 UTC	20.45285137	352129583.6	1225566.145
2015-03-09 00:00:00 UTC	17.86710838	308668590.9	1096934.136
2015-03-10 00:00:00 UTC	15.46173887	267562298.9	936495.3118
